Gene ID,Gene Name,Chromosome,Gene Start,Gene End,Gene Length,Gene Strand,IntervalCount,Intervals,Interval Dists to Start,Interval Pos,1_WT_NRF2::1 Present,2_Nrf2_dbminus_NRF2::1 Present,3_Keap1_dbminus_NRF2::1 Present,1_WT_NRF2::1 AvgPeak,2_Nrf2_dbminus_NRF2::1 AvgPeak,3_Keap1_dbminus_NRF2::1 AvgPeak,ActRegCount,Peak Sample,Peak Value,UCSC Link,Altsymbols,Full Description,RNA,Affy Tag,PROT
GeneID:14200,Fhl2,1,"43,123,074","43,163,961","40,887",-,1,3_Keap1_dbminus_NRF2::1::13,206,in gene,0,0,1,3.00,6.00,12.00,1,3_Keap1_dbminus_NRF2::1,12,Gene Fhl2,"Fhl2, C76204, SLIM3",four and a half LIM domains 2,NM_010212.3,1419184_a_at,NP_034342.1
GeneID:246229,Bivm,1,"44,119,968","44,144,771","24,803",+,1,3_Keap1_dbminus_NRF2::1::15,28064,downstream,0,0,1,4.00,6.00,12.00,1,3_Keap1_dbminus_NRF2::1,12,Gene Bivm,"AI854267, Bivm","basic, immunoglobulin-like variable motif containing",NM_144558.4,1434288_at,NP_653141.3
GeneID:22592,Ercc5,1,"44,147,744","44,181,260","33,516",+,1,3_Keap1_dbminus_NRF2::1::15,288,in gene,0,0,1,4.00,6.00,12.00,1,3_Keap1_dbminus_NRF2::1,12,Gene Ercc5,"Xpg, Ercc5, MGC176031","excision repair cross-complementing rodent repair deficiency, complementation group 5",NM_011729.2,,NP_035859.2
GeneID:433297,Gm5526,1,"45,857,131","45,866,671","9,540",-,2,"3_Keap1_dbminus_NRF2::1::16, 3_Keap1_dbminus_NRF2::1::17","6127, -6801","in gene, upstream",0,0,1,6.50,4.00,28.50,2,3_Keap1_dbminus_NRF2::1,33,Gene Gm5526,"EG433297, Gm5526","myosin, light polypeptide 6, alkali, smooth muscle and non-muscle pseudogene","XR_140431.2, XR_141929.2",,
GeneID:442821,9330175M20Rik,1,"51,218,386","51,333,779","115,393",-,1,3_Keap1_dbminus_NRF2::1::18,68547,in gene,0,0,1,6.00,3.00,24.00,1,3_Keap1_dbminus_NRF2::1,24,Gene 9330175M20Rik,9330175M20Rik,RIKEN cDNA 9330175M20 gene,NR_045151.2,,
GeneID:17912,Myo1b,1,"51,749,765","51,915,974","166,209",-,1,3_Keap1_dbminus_NRF2::1::19,168342,downstream,0,0,1,11.00,8.00,36.00,1,3_Keap1_dbminus_NRF2::1,36,Gene Myo1b,"myosin-1b, AA406997, Myo1b",myosin IB,"NM_010863.3, NM_001161817.1",1427450_x_at,"NP_034993.2, NP_001155289.1"
GeneID:20849,Stat4,1,"52,008,244","52,107,184","98,940",+,1,3_Keap1_dbminus_NRF2::1::20,105601,downstream,0,0,1,6.00,11.00,12.00,1,3_Keap1_dbminus_NRF2::1,12,Gene Stat4,Stat4,signal transducer and activator of transcription 4,NM_011487.4,,NP_035617.1
GeneID:20846,Stat1,1,"52,119,438","52,161,865","42,427",+,1,3_Keap1_dbminus_NRF2::1::20,-5593,upstream,0,0,1,6.00,11.00,12.00,1,3_Keap1_dbminus_NRF2::1,12,Gene Stat1,"2010005J02Rik, Stat1, AA408197",signal transducer and activator of transcription 1,"NM_001205313.1, NM_009283.4, NM_001205314.1",1420915_at,"NP_001192242.1, NP_033309.3, NP_001192243.1"
GeneID:329154,Ankrd44,1,"54,645,340","54,926,387","281,047",-,1,3_Keap1_dbminus_NRF2::1::21,126355,in gene,0,0,1,2.00,1.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Ankrd44,"E130014H08Rik, A130096K20, 4930444A19Rik, Ankrd44",ankyrin repeat domain 44,NM_001081433.3,1434856_at,NP_001074902.2
GeneID:15510,Hspd1,1,"55,077,834","55,087,932","10,098",-,1,3_Keap1_dbminus_NRF2::1::23,476,in gene,0,0,1,8.00,9.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene Hspd1,"Hspd1, Hsp60, 60kDa",heat shock protein 1 (chaperonin),NM_010477.4,1426351_at,NP_034607.3
GeneID:15528,Hspe1,1,"55,088,148","55,091,317","3,169",+,1,3_Keap1_dbminus_NRF2::1::23,-692,upstream,0,0,1,8.00,9.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene Hspe1,"mt-cpn10, 10kDa, Hspe1, Hsp10, MGC117526",heat shock protein 1 (chaperonin 10),NM_008303.4,1422579_at,NP_032329.1
GeneID:68549,Sgol2,1,"57,985,340","58,026,277","40,937",+,1,3_Keap1_dbminus_NRF2::1::25,44420,downstream,0,0,1,11.00,8.00,86.00,1,3_Keap1_dbminus_NRF2::1,86,Gene Sgol2,"AV008062, 5730576N04Rik, 1110007N04Rik, 4932411A20Rik, AU018846, Sgol2, Tripin, D1Ertd8e",shugoshin-like 2 (S. pombe),"NM_199007.2, NM_001177867.1",,"NP_950172.1, NP_001171338.1"
GeneID:11761,Aox1,1,"58,029,969","58,106,410","76,441",+,2,"3_Keap1_dbminus_NRF2::1::25, 3_Keap1_dbminus_NRF2::1::26","-209, 71791","upstream, in gene",0,0,1,7.50,5.00,51.50,2,3_Keap1_dbminus_NRF2::1,86,Gene Aox1,"Aox-2, MGC13774, AI255253, Aox1, Aox-1, Aox2, Ao, Ro, Moro, AI196512",aldehyde oxidase 1,NM_009676.2,1419435_at,NP_033806.2
GeneID:213043,Aox3l1,1,"58,278,326","58,379,264","100,938",+,1,3_Keap1_dbminus_NRF2::1::27,81386,in gene,0,0,1,5.00,1.00,21.00,1,3_Keap1_dbminus_NRF2::1,21,Gene Aox3l1,"Aoh3, Aox3l1",aldehyde oxidase 3-like 1,NM_001008419.2,,NP_001008419.1
GeneID:227157,Mpp4,1,"59,120,935","59,163,389","42,454",-,1,3_Keap1_dbminus_NRF2::1::28,402,in gene,0,0,1,6.00,1.00,20.00,1,3_Keap1_dbminus_NRF2::1,20,Gene Mpp4,"Mpp4, Dlg6","membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)","NM_145143.3, NM_001164682.1",,"NP_660125.2, NP_001158154.1"
GeneID:74018,Als2,1,"59,162,756","59,237,231","74,475",-,1,3_Keap1_dbminus_NRF2::1::28,74244,in gene,0,0,1,6.00,1.00,20.00,1,3_Keap1_dbminus_NRF2::1,20,Gene Als2,"Alsin, 3222402C23Rik, Als2, MGC27807, 9430073A21Rik, Als2cr6, mKIAA1563",amyotrophic lateral sclerosis 2 (juvenile),"NM_001159948.2, NM_146109.3, NM_028717.6","1417783_at, 1417784_at, 1431608_at","NP_001153420.2, NP_666221.1, NP_082993.4"
GeneID:14369,Fzd7,1,"59,482,147","59,486,955","4,808",+,1,3_Keap1_dbminus_NRF2::1::29,5565,downstream,0,0,1,5.00,4.00,22.00,1,3_Keap1_dbminus_NRF2::1,22,Gene Fzd7,"Fzd7, Fz7",frizzled homolog 7 (Drosophila),NM_008057.3,,NP_032083.3
GeneID:100042533,Gm11578,1,"60,592,189","60,597,208","5,019",-,1,3_Keap1_dbminus_NRF2::1::31,-7400,upstream,0,0,1,5.00,1.00,17.00,1,3_Keap1_dbminus_NRF2::1,17,Gene Gm11578,"OTTMUSG00000002255, Gm11578",predicted gene 11578,"XM_001478387.2, XM_003086205.2",,"XP_001478437.2, XP_003086253.2"
GeneID:18187,Nrp2,1,"62,703,317","62,818,692","115,375",+,1,3_Keap1_dbminus_NRF2::1::36,49491,in gene,0,0,1,2.00,1.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Nrp2,"Np-2, Nrp2, Npn2, Npn-2, 1110048P06Rik, Np2",neuropilin 2,"NM_001077403.1, NM_010939.2, NM_001077406.1, NM_001077404.1, NM_001077405.1, NM_001077407.1","1426528_at, 1435349_at","NP_001070871.1, NP_035069.2, NP_001070874.1, NP_001070872.1, NP_001070873.1, NP_001070875.1"
GeneID:14768,Lancl1,1,"67,000,517","67,038,872","38,355",-,1,3_Keap1_dbminus_NRF2::1::38,35032,in gene,0,0,1,2.00,4.00,16.00,1,3_Keap1_dbminus_NRF2::1,16,Gene Lancl1,"p40, Gpr69a, AW124738, Lancl1, Gpr69",LanC (bacterial lantibiotic synthetase component C)-like 1,"NM_001190985.1, NM_021295.3, NM_001190984.1","1427011_a_at, 1427012_at","NP_001177914.1, NP_067270.1, NP_001177913.1"
GeneID:71134,4933417E11Rik,1,"71,958,998","72,005,195","46,197",-,1,3_Keap1_dbminus_NRF2::1::40,2523,in gene,0,0,1,2.00,6.00,17.00,1,3_Keap1_dbminus_NRF2::1,17,Gene 4933417E11Rik,4933417E11Rik,RIKEN cDNA 4933417E11 gene,NR_040454.1,1431461_at,
GeneID:433319,Gm5528,1,"72,004,288","72,004,770",482,+,1,3_Keap1_dbminus_NRF2::1::40,-1616,upstream,0,0,1,2.00,6.00,17.00,1,3_Keap1_dbminus_NRF2::1,17,Gene Gm5528,"EG433319, Gm5528",predicted gene 5528,"XM_910525.3, XM_484880.5",,"XP_915618.1, XP_484880.1"
GeneID:16011,Igfbp5,1,"72,858,065","72,874,865","16,800",-,3,"1_WT_NRF2::1::1, 3_Keap1_dbminus_NRF2::1::41, 3_Keap1_dbminus_NRF2::1::42","2817, 2817, 1089","in gene, in gene, in gene",1,0,1,6.50,4.00,18.00,2,3_Keap1_dbminus_NRF2::1,23,Gene Igfbp5,"Igfbp5, AW208790, AI256729, IGFBP-5P, IGFBP-5",insulin-like growth factor binding protein 5,NM_010518.2,1422313_a_at,NP_034648.2
GeneID:241112,Gm216,1,"74,362,108","74,369,321","7,213",+,1,3_Keap1_dbminus_NRF2::1::45,14532,downstream,0,0,1,5.00,4.00,61.00,1,3_Keap1_dbminus_NRF2::1,61,Gene Gm216,Gm216,predicted gene 216,NM_001033345.2,,NP_001028517.1
GeneID:18173,Slc11a1,1,"74,375,203","74,386,051","10,848",+,2,"3_Keap1_dbminus_NRF2::1::45, 3_Keap1_dbminus_NRF2::1::46","1437, 15869","in gene, downstream",0,0,1,5.00,4.00,37.00,2,3_Keap1_dbminus_NRF2::1,61,Gene Slc11a1,"Ity, ity, Bcg, Nramp1, MGC129156, Slc11a1, MGC129157, Lsh, Nramp","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",NM_013612.2,1420361_at,NP_038640.2
GeneID:227292,Ctdsp1,1,"74,391,609","74,397,285","5,676",+,1,3_Keap1_dbminus_NRF2::1::46,-537,upstream,0,0,1,5.00,4.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Ctdsp1,"GIP, Nif3, Ctdsp1, NLIIF, SCP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",NM_153088.2,,NP_694728.1
GeneID:387219,Mir26b,1,"74,394,310","74,394,394",84,+,1,3_Keap1_dbminus_NRF2::1::46,-3238,upstream,0,0,1,5.00,4.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Mir26b,"Mirn26b, Mir26b, mmu-mir-26b",microRNA 26b,NR_029743.1,,
GeneID:319651,Usp37,1,"74,435,510","74,544,286","108,776",-,1,3_Keap1_dbminus_NRF2::1::47,37886,in gene,0,0,1,4.00,8.00,21.00,1,3_Keap1_dbminus_NRF2::1,21,Gene Usp37,"C330008N13Rik, 4932415L06Rik, Usp37",ubiquitin specific peptidase 37,NM_176972.4,1434242_at,NP_795946.2
GeneID:58184,Rqcd1,1,"74,506,060","74,530,842","24,782",+,1,3_Keap1_dbminus_NRF2::1::47,340,in gene,0,0,1,4.00,8.00,21.00,1,3_Keap1_dbminus_NRF2::1,21,Gene Rqcd1,"Rqcd1, 2610007F23Rik, Fl10, AI593551",rcd1 (required for cell differentiation) homolog 1 (S. pombe),NM_021383.5,,NP_067358.1
GeneID:12570,Cdk5r2,1,"74,855,029","74,857,732","2,703",+,1,3_Keap1_dbminus_NRF2::1::48,4256,downstream,0,0,1,1.00,0.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Cdk5r2,"B230310J22Rik, Cdk5r2, p39","cyclin-dependent kinase 5, regulatory subunit 2 (p39)",NM_009872.3,,NP_034002.2
GeneID:68818,Zfand2b,1,"75,168,646","75,171,626","2,980",+,1,3_Keap1_dbminus_NRF2::1::49,10746,downstream,0,0,1,7.00,9.00,35.00,1,3_Keap1_dbminus_NRF2::1,35,Gene Zfand2b,"C81256, Zfand2b, 1110060O18Rik","zinc finger, AN1 type domain 2B","NM_026846.3, NM_001159905.1, NM_001159906.1",1424521_at,"NP_081122.2, NP_001153377.1, NP_001153378.1"
GeneID:74104,Abcb6,1,"75,171,640","75,180,283","8,643",-,1,3_Keap1_dbminus_NRF2::1::49,891,in gene,0,0,1,7.00,9.00,35.00,1,3_Keap1_dbminus_NRF2::1,35,Gene Abcb6,"1200005B17Rik, Abcb6","ATP-binding cassette, sub-family B (MDR/TAP), member 6",NM_023732.2,1422524_at,NP_076221.1
GeneID:245860,Atg9a,1,"75,180,866","75,191,923","11,057",-,1,3_Keap1_dbminus_NRF2::1::49,12531,downstream,0,0,1,7.00,9.00,35.00,1,3_Keap1_dbminus_NRF2::1,35,Gene Atg9a,"AU019532, Atg9l1, Apg9l1, Atg9, MGC105176, Atg9a",autophagy related 9A,NM_001003917.3,1435784_at,NP_001003917.2
GeneID:56812,Dnajb2,1,"75,236,423","75,245,692","9,269",+,1,3_Keap1_dbminus_NRF2::1::53,185,in gene,0,0,1,5.00,2.00,23.00,1,3_Keap1_dbminus_NRF2::1,23,Gene Dnajb2,"2700059H22Rik, Hsj1, MGC113758, Dnajb10, mDj8, Dnajb2","DnaJ (Hsp40) homolog, subfamily B, member 2","NM_020266.2, NM_178055.4, NM_001159883.1, NM_001159884.1, NM_001159885.1",,"NP_064662.2, NP_835156.1, NP_001153355.1, NP_001153356.1, NP_001153357.1"
GeneID:71728,Stk11ip,1,"75,521,529","75,537,335","15,806",+,1,3_Keap1_dbminus_NRF2::1::55,279,in gene,0,0,1,6.00,9.00,14.00,1,3_Keap1_dbminus_NRF2::1,14,Gene Stk11ip,"LKB1IP, Stk11ip, BB131189, 1200014D22Rik, LIP1",serine/threonine kinase 11 interacting protein,NM_027886.3,1431792_a_at,NP_082162.3
GeneID:14897,Trip12,1,"84,721,189","84,839,304","118,115",-,1,3_Keap1_dbminus_NRF2::1::57,-184,upstream,0,0,1,13.00,9.00,20.00,1,3_Keap1_dbminus_NRF2::1,20,Gene Trip12,"AA410158, 6720416K24Rik, Trip12, Gtl6, 1110036I07Rik, MGC31615, TRIP-12",thyroid hormone receptor interactor 12,NM_133975.4,"1423898_a_at, 1423899_at, 1423900_at, 1423901_at",NP_598736.4
GeneID:66153,Fbxo36,1,"84,839,841","84,900,486","60,645",+,1,3_Keap1_dbminus_NRF2::1::57,-353,upstream,0,0,1,13.00,9.00,20.00,1,3_Keap1_dbminus_NRF2::1,20,Gene Fbxo36,"1110020F21Rik, Fbxo36, 2410002G19Rik, 0610008D19Rik, D1Ertd757e",F-box protein 36,NM_025386.3,1419305_a_at,NP_079662.1
GeneID:70060,Spata3,1,"86,021,942","86,029,958","8,016",+,1,3_Keap1_dbminus_NRF2::1::58,16810,downstream,0,0,1,9.00,8.00,30.00,1,3_Keap1_dbminus_NRF2::1,30,Gene Spata3,"1700029H01Rik, Spata3, 4930424D10Rik, Mtsarg1, Tsarg1, 1700011N12Rik",spermatogenesis associated 3,"NM_027029.2, NM_027300.3, NM_028647.4, NM_001122732.1","1429923_x_at, 1432375_a_at","NP_081305.1, NP_081576.2, NP_082923.1, NP_001116204.1"
GeneID:72792,2810459M11Rik,1,"86,045,863","86,055,456","9,593",+,2,"3_Keap1_dbminus_NRF2::1::58, 3_Keap1_dbminus_NRF2::1::59","-7111, 19001","upstream, downstream",0,0,1,12.00,11.00,38.50,2,3_Keap1_dbminus_NRF2::1,47,Gene 2810459M11Rik,2810459M11Rik,RIKEN cDNA 2810459M11 gene,"NM_001144992.1, NM_001144993.1",,"NP_001138464.1, NP_001138465.1"
GeneID:70247,Psmd1,1,"86,064,619","86,139,295","74,676",+,1,3_Keap1_dbminus_NRF2::1::59,245,in gene,0,0,1,15.00,14.00,47.00,1,3_Keap1_dbminus_NRF2::1,47,Gene Psmd1,"2410026J11Rik, S1, P112, Psmd1","proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",NM_027357.2,1429291_at,NP_081633.1
GeneID:71863,1700019O17Rik,1,"86,426,329","86,428,049","1,720",+,1,3_Keap1_dbminus_NRF2::1::60,11671,downstream,0,0,1,3.00,12.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene 1700019O17Rik,"1700019O17Rik, MGC118337",RIKEN cDNA 1700019O17 gene,NM_027966.1,1429924_at,NP_082242.1
GeneID:73475,1700067G17Rik,1,"89,016,113","89,022,210","6,097",+,1,3_Keap1_dbminus_NRF2::1::62,-561,upstream,0,0,1,3.00,4.00,25.00,1,3_Keap1_dbminus_NRF2::1,25,Gene 1700067G17Rik,1700067G17Rik,RIKEN cDNA 1700067G17 gene,NR_040471.1,,
GeneID:16978,Lrrfip1,1,"90,998,727","91,128,944","130,217",+,1,3_Keap1_dbminus_NRF2::1::63,54233,in gene,0,0,1,5.00,4.00,16.00,1,3_Keap1_dbminus_NRF2::1,16,Gene Lrrfip1,"Fliiap1, Lrrfip1, AU024550",leucine rich repeat (in FLII) interacting protein 1,"NM_001111311.1, NM_008515.4, NM_001111312.1",1433842_at,"NP_001104781.1, NP_032541.1, NP_001104782.1"
GeneID:208727,Hdac4,1,"91,932,734","92,148,393","215,659",-,3,"3_Keap1_dbminus_NRF2::1::65, 3_Keap1_dbminus_NRF2::1::66, 3_Keap1_dbminus_NRF2::1::67","64473, 61321, 48745","in gene, in gene, in gene",0,0,1,8.00,4.67,30.33,3,3_Keap1_dbminus_NRF2::1,55,Gene Hdac4,"AI047285, 4932408F19Rik, Hdac4",histone deacetylase 4,NM_207225.1,,NP_997108.1
GeneID:227399,Ppip5k2,1,"97,706,046","97,770,092","64,046",-,1,3_Keap1_dbminus_NRF2::1::73,-20,upstream,0,0,1,3.00,7.00,14.00,1,3_Keap1_dbminus_NRF2::1,14,Gene Ppip5k2,"mKIAA0433, Vip2, AW555814, Ppip5k2, D330021B20, Hisppd1",diphosphoinositol pentakisphosphate kinase 2,NM_173760.4,1433856_at,NP_776121.3
GeneID:252876,Gin1,1,"97,770,179","97,792,971","22,792",+,1,3_Keap1_dbminus_NRF2::1::73,-67,upstream,0,0,1,3.00,7.00,14.00,1,3_Keap1_dbminus_NRF2::1,14,Gene Gin1,"Gin-1, 4930429M06Rik, MGC29171, Zh2c2, 8430411H10Rik, Gin1",gypsy retrotransposon integrase 1,NM_026250.2,"1429118_a_at, 1429728_at",NP_080526.2
GeneID:22625,Map3k19,1,"127,815,271","127,840,290","25,019",-,1,3_Keap1_dbminus_NRF2::1::79,1602,in gene,0,0,1,4.00,1.00,14.00,1,3_Keap1_dbminus_NRF2::1,14,Gene Map3k19,"Ysk4, Map3k19",mitogen-activated protein kinase kinase kinase 19,NM_011737.1,,NP_035867.1
GeneID:226412,R3hdm1,1,"128,103,306","128,237,735","134,429",+,1,3_Keap1_dbminus_NRF2::1::80,141195,downstream,0,0,1,7.00,11.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene R3hdm1,"R3hdm1, R3hdm",R3H domain containing 1,NM_181750.2,1433871_at,NP_861415.2
GeneID:67812,Ubxn4,1,"128,244,181","128,279,377","35,196",+,1,3_Keap1_dbminus_NRF2::1::80,320,in gene,0,0,1,7.00,11.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene Ubxn4,"mKIAA0242, 1300013G12Rik, Ubxd2, Ubxn4, KIAA0242",UBX domain protein 4,NM_026390.2,"1426484_at, 1426485_at, 1426486_at",NP_080666.2
GeneID:18640,Pfkfb2,1,"130,689,043","130,729,253","40,210",-,3,"3_Keap1_dbminus_NRF2::1::82, 3_Keap1_dbminus_NRF2::1::83, 3_Keap1_dbminus_NRF2::1::84","13013, 12197, 11621","in gene, in gene, in gene",0,0,1,4.67,7.33,16.00,3,3_Keap1_dbminus_NRF2::1,18,Gene Pfkfb2,"4930568D07Rik, Pfkfb2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","NM_008825.4, NM_001162415.1, NR_027859.1, NM_001162416.1","1422090_a_at, 1422091_at, 1422092_at, 1429486_at","NP_032851.2, NP_001155887.1, NP_001155888.1"
GeneID:226418,Yod1,1,"130,717,327","130,722,073","4,746",+,3,"3_Keap1_dbminus_NRF2::1::82, 3_Keap1_dbminus_NRF2::1::83, 3_Keap1_dbminus_NRF2::1::84","-1087, -271, 305","upstream, upstream, in gene",0,0,1,4.67,7.33,16.00,3,3_Keap1_dbminus_NRF2::1,18,Gene Yod1,"Hshin7, Yod1, 9930028C20Rik",YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae),NM_178691.4,,NP_848806.2
GeneID:14270,Srgap2,1,"131,285,251","131,527,361","242,110",-,1,3_Keap1_dbminus_NRF2::1::85,95361,in gene,0,0,1,2.00,9.00,16.00,1,3_Keap1_dbminus_NRF2::1,16,Gene Srgap2,"FBP2, srGAP3, Fnbp2, Srgap2, AI448945, 9930124L22Rik",SLIT-ROBO Rho GTPase activating protein 2,NM_001081011.2,"1427967_at, 1429884_at, 1434406_at, 1434407_at",NP_001074480.2
GeneID:226421,5430435G22Rik,1,"131,688,695","131,713,464","24,769",+,1,3_Keap1_dbminus_NRF2::1::86,1993,in gene,0,0,1,7.00,6.00,35.00,1,3_Keap1_dbminus_NRF2::1,35,Gene 5430435G22Rik,"5430435G22Rik, Rab7b",RIKEN cDNA 5430435G22 gene,NM_145509.2,"1424987_at, 1435830_a_at",NP_663484.1
GeneID:71001,4931440L10Rik,1,"134,540,945","134,547,022","6,077",-,1,3_Keap1_dbminus_NRF2::1::88,-9346,upstream,0,0,1,6.00,7.00,11.00,1,3_Keap1_dbminus_NRF2::1,11,Gene 4931440L10Rik,4931440L10Rik,RIKEN cDNA 4931440L10 gene,"NM_001145300.1, NR_026896.1",1430094_at,NP_001138772.1
